,LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
667,HRV,2022,1896258.529776915,91081.3354069356,0.04803212957341363,0.6101497542516506,0.34181811617493574,CIR
668,HRV,2023,1904696.2313554797,139870.87176440386,0.0734347395987992,0.5578216619335381,0.3687435984676627,CIR
669,HRV,2024,1913450.0188837165,186642.02121284156,0.09754214605601574,0.5078454126578197,0.3946124412861646,CIR
670,HRV,2025,1922531.391151246,231070.771493431,0.12019089652162285,0.460181724145144,0.41962737933323313,CIR
671,HRV,2026,1925190.8108981207,271918.0532614013,0.1412421312849238,0.41478787831649566,0.4439699903985806,CIR
672,HRV,2027,1928147.4265868426,309639.1400169649,0.16058893409674602,0.3716179979007065,0.46779306800254744,CIR
673,HRV,2028,1932264.5580485275,344245.4849654025,0.1781564970135715,0.33062332963564844,0.49122017335078005,CIR
674,HRV,2029,1936936.9035913972,375569.90672312165,0.19389888541374461,0.29175253147315067,0.5143485831131047,CIR
675,HRV,2030,1941534.863039928,403440.4350203506,0.2077945870045671,0.2549519613025969,0.537253451692836,CIR
676,HRV,2031,1945719.120201198,427750.7440521104,0.2198419800736083,0.22016596483985543,0.5599920550865363,CIR
677,HRV,2032,1949188.231585794,448420.96043197915,0.23005523692658403,0.18733716048250937,0.5826076025909066,CIR
678,HRV,2033,1951780.9357929865,465423.32414084155,0.2384608413811283,0.15640671910498685,0.6051324395138848,CIR
679,HRV,2034,1953398.6030176019,478767.70496495685,0.24509473090917466,0.12731463695385037,0.627590632136975,CIR
680,HRV,2035,1954071.2406685692,488517.8101671423,0.25,0.09999999999999996,0.65,CIR
681,HRV,2036,1953718.9327120925,488429.73317802313,0.25,0.09999999999999996,0.65,CIR
682,HRV,2037,1952318.6098639774,488079.65246599435,0.25,0.09999999999999996,0.65,CIR
683,HRV,2038,1949893.9458749648,487473.4864687412,0.25,0.09999999999999996,0.65,CIR
684,HRV,2039,1946421.208524242,486605.3021310605,0.25,0.09999999999999996,0.65,CIR
685,HRV,2040,1941934.6209958955,485483.65524897387,0.25,0.09999999999999996,0.65,CIR
686,HRV,2041,1936499.5078583136,484124.8769645784,0.25,0.09999999999999996,0.65,CIR
687,HRV,2042,1930093.1623907564,482523.2905976891,0.25,0.09999999999999996,0.65,CIR
688,HRV,2043,1922868.067698038,480717.0169245095,0.25,0.09999999999999996,0.65,CIR
689,HRV,2044,1914857.6457580966,478714.41143952415,0.25,0.09999999999999996,0.65,CIR
690,HRV,2045,1906121.1031702983,476530.27579257457,0.25,0.09999999999999996,0.65,CIR
691,HRV,2046,1896781.2834782216,474195.3208695554,0.25,0.09999999999999996,0.65,CIR
692,HRV,2047,1886906.62018797,471726.6550469925,0.25,0.09999999999999996,0.65,CIR
693,HRV,2048,1876552.0715084937,469138.01787712344,0.25,0.09999999999999996,0.65,CIR
694,HRV,2049,1865777.6571408696,466444.4142852174,0.25,0.09999999999999996,0.65,CIR
695,HRV,2050,1854716.662294191,463679.16557354777,0.25,0.09999999999999996,0.65,CIR
696,EST,2022,501182.9145094077,303324.1839174383,0.605216529007883,0.049451988343765,0.345331482648352,CIR
697,EST,2023,501189.26282694866,297196.9552615619,0.5929834840938691,0.0381893655101898,0.3688271503959411,CIR
698,EST,2024,500386.4842988964,289367.6790620727,0.5782883593818742,0.0294120682512253,0.39229957236690055,CIR
699,EST,2025,503391.5133139637,282724.93497804424,0.5616402491905135,0.0226044912769105,0.4157552595325761,CIR
700,EST,2026,509976.8467194619,277150.34825591906,0.543456727572535,0.0173442842477027,0.4391989881797622,CIR
701,EST,2027,515900.2325552731,270370.07036262203,0.524074333177694,0.0132914422865287,0.46263422453577724,CIR
702,EST,2028,520598.58577607916,262257.13832297735,0.5037607582664081,0.0101757795746005,0.4860634621589915,CIR
703,EST,2029,524270.0024190915,253079.20254480338,0.4827268418506551,0.0077846762555102,0.5094884818938347,CIR
704,EST,2030,527237.8955513339,243129.11821684372,0.46113741115403517,0.0059520410392001,0.5329105478067647,CIR
705,EST,2031,529799.7520624574,232645.98337089588,0.4391205969146425,0.004548850631,0.5563305524543575,CIR
706,EST,2032,532118.9877152676,221774.19794185372,0.4167755766319755,0.0034753001539729,0.5797491232140516,CIR
707,EST,2033,534292.1692761283,210606.68163370047,0.39417886644124955,0.0026544342387751,0.6031666993199754,CIR
708,EST,2034,536744.7224638397,199341.27466675887,0.3713893520027827,0.0020270607891782,0.6265835872080391,CIR
709,EST,2035,539130.716209939,187861.3189363373,0.34845226452128836,0.0015477354787116,0.65,CIR
710,EST,2036,541424.8739231456,188858.94838627757,0.3488183817965589,0.0011816182034411,0.65,CIR
711,EST,2037,543669.8102229914,189794.02845674066,0.34909797249712066,0.0009020275028793,0.65,CIR
712,EST,2038,545805.5949690964,190656.14551241125,0.3493114531433234,0.0006885468566766,0.65,CIR
713,EST,2039,547883.8391796116,191471.39598466258,0.34947443653634197,0.000525563463658,0.65,CIR
714,EST,2040,549886.5629592749,192239.7134954427,0.34959885628207316,0.0004011437179268,0.65,CIR
715,EST,2041,551823.9462377554,192969.42950323413,0.3496938304668869,0.0003061695331131,0.65,CIR
716,EST,2042,553688.7317291701,193661.67232881003,0.3497663239849664,0.0002336760150336,0.65,CIR
717,EST,2043,555436.2508990845,194303.62902068574,0.34982165587169817,0.0001783441283018,0.65,CIR
