DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2012,104,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2013,65,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2014,66,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2015,55,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2016,29,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2017,7,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2018,6,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2019,6,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2020,7,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DE,2021,7,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,1995,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,1996,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,1997,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,1998,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,1999,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2000,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2001,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2002,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2003,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2004,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2005,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2006,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2007,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2008,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,DK,2009,0,
