STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2019,,587.9943,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2020,,834.1516,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,COMPOST,Composting,PT_WST_TR,Percentage of treated waste,1990,,23.17,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,COMPOST,Composting,PT_WST_TR,Percentage of treated waste,1991,,11.12,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,COMPOST,Composting,PT_WST_TR,Percentage of treated waste,1992,,11.76,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,COMPOST,Composting,PT_WST_TR,Percentage of treated waste,1993,,15.61,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,COMPOST,Composting,PT_WST_TR,Percentage of treated waste,1994,,16.59,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,COMPOST,Composting,PT_WST_TR,Percentage of treated waste,1995,,24.40678,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,COMPOST,Composting,PT_WST_TR,Percentage of treated waste,1996,,37.33274,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,COMPOST,Composting,PT_WST_TR,Percentage of treated waste,1997,,37.5,,A,Normal value,0,Units,1,One,,,,,,
