unit,waste,Waste categories,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,NUTS_code
T,W05,Health care and biological wastes,Poland,2014,0.0,POL
T,W05,Health care and biological wastes,Poland,2016,0.0,POL
T,W05,Health care and biological wastes,Poland,2018,0.0,POL
T,W05,Health care and biological wastes,Poland,2020,0.0,POL
T,W05,Health care and biological wastes,Poland,2022,0.0,POL
T,W05,Health care and biological wastes,Portugal,2004,13089.0,PRT
T,W05,Health care and biological wastes,Portugal,2006,0.0,PRT
T,W05,Health care and biological wastes,Portugal,2010,0.0,PRT
T,W05,Health care and biological wastes,Portugal,2012,0.0,PRT
T,W05,Health care and biological wastes,Portugal,2014,0.0,PRT
T,W05,Health care and biological wastes,Portugal,2016,0.0,PRT
T,W05,Health care and biological wastes,Portugal,2018,0.0,PRT
T,W05,Health care and biological wastes,Portugal,2020,0.0,PRT
T,W05,Health care and biological wastes,Portugal,2022,0.0,PRT
T,W05,Health care and biological wastes,Romania,2004,0.0,ROU
T,W05,Health care and biological wastes,Romania,2006,0.0,ROU
T,W05,Health care and biological wastes,Romania,2008,0.0,ROU
T,W05,Health care and biological wastes,Romania,2010,0.0,ROU
T,W05,Health care and biological wastes,Romania,2012,0.0,ROU
T,W05,Health care and biological wastes,Romania,2014,0.0,ROU
T,W05,Health care and biological wastes,Romania,2016,0.0,ROU
T,W05,Health care and biological wastes,Romania,2018,0.0,ROU
T,W05,Health care and biological wastes,Romania,2020,0.0,ROU
T,W05,Health care and biological wastes,Romania,2022,0.0,ROU
T,W05,Health care and biological wastes,Serbia,2014,0.0,
T,W05,Health care and biological wastes,Serbia,2016,0.0,
T,W05,Health care and biological wastes,Serbia,2018,0.0,
T,W05,Health care and biological wastes,Serbia,2020,0.0,
T,W05,Health care and biological wastes,Serbia,2022,0.0,
T,W05,Health care and biological wastes,Sweden,2004,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2006,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2008,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2010,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2012,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2014,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2016,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2018,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2020,0.0,SWE
T,W05,Health care and biological wastes,Sweden,2022,0.0,SWE
T,W05,Health care and biological wastes,Slovenia,2004,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2006,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2008,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2010,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2012,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2014,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2016,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2018,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2020,0.0,SVN
T,W05,Health care and biological wastes,Slovenia,2022,0.0,SVN
T,W05,Health care and biological wastes,Slovakia,2006,0.0,SVK
T,W05,Health care and biological wastes,Slovakia,2008,0.0,SVK
T,W05,Health care and biological wastes,Slovakia,2010,0.0,SVK
T,W05,Health care and biological wastes,Slovakia,2012,0.0,SVK
T,W05,Health care and biological wastes,Slovakia,2014,0.0,SVK
T,W05,Health care and biological wastes,Slovakia,2016,0.0,SVK
T,W05,Health care and biological wastes,Slovakia,2018,0.0,SVK
T,W05,Health care and biological wastes,Slovakia,2020,0.0,SVK
T,W05,Health care and biological wastes,Slovakia,2022,0.0,SVK
T,W05,Health care and biological wastes,Türkiye,2014,7771.0,
