Material type,Waste flow,Physiochemical property,Unit,min,max,diff,sector
glass,residual,O,%TS,0.35167,1.394,2.963943469730145,MSW_URB_GLA
glass,residual,P,mg/kgTS,109.8,174.7,0.5910746812386156,MSW_URB_GLA
glass,residual,Pb,mg/kgTS,26.15,163.84,5.265391969407266,MSW_URB_GLA
glass,residual,Pd,mg/kgTS,0.239767,0.2535,0.05727643920973276,MSW_URB_GLA
glass,residual,Pr,mg/kgTS,0.68777,3.5359,4.141108219317505,MSW_URB_GLA
glass,residual,Pt,mg/kgTS,0.0187,0.019833,0.06058823529411757,MSW_URB_GLA
glass,residual,Rb,mg/kgTS,17.555,36.187,1.0613500427228708,MSW_URB_GLA
glass,residual,Re,mg/kgTS,0.0337,0.035633,0.057359050445103775,MSW_URB_GLA
glass,residual,Rh,mg/kgTS,0.007567,0.013067,0.7268402273027621,MSW_URB_GLA
glass,residual,Ru,mg/kgTS,0.0075,0.0079,0.053333333333333476,MSW_URB_GLA
glass,residual,S,mg/kgTS,234.17,1138.93,3.8636887731135507,MSW_URB_GLA
glass,residual,Sb,mg/kgTS,5.4705,45.4251,7.303646833013435,MSW_URB_GLA
glass,residual,Sc,mg/kgTS,1.0547,1.6513,0.5656584810846687,MSW_URB_GLA
glass,residual,Se,mg/kgTS,64.6732,68.3819,0.057345237285305314,MSW_URB_GLA
glass,residual,Si,mg/kgTS,241918.0,344649.0,0.4246521548623914,MSW_URB_GLA
glass,residual,Sm,mg/kgTS,0.41853,0.9533,1.2777339736697488,MSW_URB_GLA
glass,residual,Sn,mg/kgTS,2.1975,32.8548,13.950989761092151,MSW_URB_GLA
glass,residual,Sr,mg/kgTS,68.149,204.856,2.00600155541534,MSW_URB_GLA
glass,residual,Ta,mg/kgTS,0.22243,0.7727,2.47390190172189,MSW_URB_GLA
glass,residual,Tb,mg/kgTS,0.0796,0.125467,0.576218592964824,MSW_URB_GLA
glass,residual,Th,mg/kgTS,0.8479,1.7887,1.109564807170657,MSW_URB_GLA
glass,residual,Ti,mg/kgTS,151.25,505.34,2.341090909090909,MSW_URB_GLA
glass,residual,Tl,mg/kgTS,0.5132,0.54263,0.05734606391270451,MSW_URB_GLA
glass,residual,Tm,mg/kgTS,0.029333,0.0826,1.815941090239662,MSW_URB_GLA
glass,residual,U,mg/kgTS,0.5229,0.82823,0.5839166188563778,MSW_URB_GLA
glass,residual,V,mg/kgTS,1.596,13.125,7.223684210526315,MSW_URB_GLA
glass,residual,VS,%TS,0.22667,4.77667,20.073234217143863,MSW_URB_GLA
glass,residual,W,mg/kgTS,0.3931,1.0078,1.5637242431951157,MSW_URB_GLA
glass,residual,Yb,mg/kgTS,0.26143,0.40433,0.5466090349233066,MSW_URB_GLA
glass,residual,Zn,mg/kgTS,30.86,445.04,13.421257290991575,MSW_URB_GLA
glass,residual,Zr,mg/kgTS,100.435,149.735,0.49086473838801226,MSW_URB_GLA
glass,residual,ash,%TS,95.2233,99.7733,0.04778242299941308,MSW_URB_GLA
glass,source-segegated,Ag,mg/kgTS,1.1524,85.4653,73.16287747309961,MSW_URB_GLA
glass,source-segegated,Al,mg/kgTS,6895.0,9199.0,0.33415518491660623,MSW_URB_GLA
glass,source-segegated,As,mg/kgTS,10.14,1534.95,150.3757396449704,MSW_URB_GLA
glass,source-segegated,Au,mg/kgTS,0.153667,0.223967,0.45748273864915695,MSW_URB_GLA
glass,source-segegated,Ba,mg/kgTS,503.26,1224.77,1.4336724555895561,MSW_URB_GLA
glass,source-segegated,Be,mg/kgTS,1.32807,2.69373,1.0283042309516817,MSW_URB_GLA
glass,source-segegated,Br,%TS,0.001,0.001,0.0,MSW_URB_GLA
glass,source-segegated,C,%TS,0.138,0.63,3.5652173913043477,MSW_URB_GLA
glass,source-segegated,Ca,mg/kgTS,64118.0,78934.0,0.23107395739106024,MSW_URB_GLA
glass,source-segegated,Cd,mg/kgTS,0.13827,1.0574,6.647356621103637,MSW_URB_GLA
glass,source-segegated,Ce,mg/kgTS,19.403,96.808,3.9893315466680415,MSW_URB_GLA
glass,source-segegated,Cl,%TS,0.00273,0.00697,1.5531135531135531,MSW_URB_GLA
glass,source-segegated,Co,mg/kgTS,1.366,8.833,5.466325036603221,MSW_URB_GLA
glass,source-segegated,Cr,mg/kgTS,12.29,1187.35,95.61106590724167,MSW_URB_GLA
glass,source-segegated,Cs,mg/kgTS,1.2366,25.8169,19.877324923176452,MSW_URB_GLA
glass,source-segegated,Cu,mg/kgTS,4.812,266.263,54.333125519534484,MSW_URB_GLA
glass,source-segegated,Dy,mg/kgTS,0.309,0.5728,0.8537216828478964,MSW_URB_GLA
glass,source-segegated,Er,mg/kgTS,1.4751,9.9331,5.733848552640499,MSW_URB_GLA
glass,source-segegated,Eu,mg/kgTS,0.16307,0.20023,0.22787759857729808,MSW_URB_GLA
glass,source-segegated,F,%TS,0.001,0.011733,10.732999999999999,MSW_URB_GLA
glass,source-segegated,Fe,mg/kgTS,477.8,2916.3,5.103599832565927,MSW_URB_GLA
glass,source-segegated,Ga,mg/kgTS,10.1325,24.802,1.447767086109055,MSW_URB_GLA
glass,source-segegated,Gd,mg/kgTS,0.4597,0.83,0.8055253426147486,MSW_URB_GLA
glass,source-segegated,Ge,mg/kgTS,0.57527,1.63337,1.8393102369322234,MSW_URB_GLA
glass,source-segegated,H,%TS,0.11447,0.11501,0.004717393203459411,MSW_URB_GLA
glass,source-segegated,HHV,MJ/kgTS,0.2,0.2,0.0,MSW_URB_GLA
glass,source-segegated,Hf,mg/kgTS,2.7188,3.23583,0.19016845667206125,MSW_URB_GLA
glass,source-segegated,Hg,μg/kgTS,2.4,2.4,0.0,MSW_URB_GLA
glass,source-segegated,Ho,mg/kgTS,0.070133,0.110467,0.575107296137339,MSW_URB_GLA
glass,source-segegated,In,mg/kgTS,0.014233,0.084267,4.92053678072086,MSW_URB_GLA
glass,source-segegated,Ir,mg/kgTS,0.2797,1.63413,4.842438326778692,MSW_URB_GLA
glass,source-segegated,K,mg/kgTS,3605.8,6676.4,0.8515724665816183,MSW_URB_GLA
glass,source-segegated,LHV,MJ/kgTS,0.17473345310000002,0.17485208570000002,0.0006789346739007559,MSW_URB_GLA
glass,source-segegated,La,mg/kgTS,3.9014,10.9787,1.814041113446455,MSW_URB_GLA
glass,source-segegated,Li,mg/kgTS,11.709,27.55,1.3528909385942438,MSW_URB_GLA
glass,source-segegated,Lu,mg/kgTS,0.035667,0.047367,0.32803431743628575,MSW_URB_GLA
glass,source-segegated,Mg,mg/kgTS,8486.9,11372.4,0.3399945798819357,MSW_URB_GLA
glass,source-segegated,Mn,mg/kgTS,49.2,150.3,2.054878048780488,MSW_URB_GLA
glass,source-segegated,Mo,mg/kgTS,0.75913,1.7827,1.3483461330733866,MSW_URB_GLA
glass,source-segegated,N,%TS,0.039815,0.040004,0.004746954665327006,MSW_URB_GLA
glass,source-segegated,Na,mg/kgTS,81371.0,107693.0,0.3234813385604208,MSW_URB_GLA
glass,source-segegated,Nb,mg/kgTS,0.9497,4.3735,3.605138464778351,MSW_URB_GLA
glass,source-segegated,Nd,mg/kgTS,2.5391,7.2495,1.8551455240045687,MSW_URB_GLA
glass,source-segegated,Ni,mg/kgTS,1.9924,12.054,5.04998996185505,MSW_URB_GLA
glass,source-segegated,O,%TS,0.2104,0.285,0.3545627376425854,MSW_URB_GLA
