,LOCATION,TIME,GDPVD_CAP,POP,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,MSW_GEN_CAP_KG/PS
893,GBR,2042,57912.57,72284967.0016786,36731522.54101609,19733628.780801997,0.5372396082619916,0.0017640614576433977,0.460996330280365,508.14884566749697
894,GBR,2043,58838.3,72418510.4027049,37020560.157520145,19900341.567273308,0.537548364546582,0.0014531083232642878,0.4609985271301537,511.20300530425425
895,GBR,2044,59772.42,72545281.5943767,37305994.1476522,20063272.708516914,0.5378029232811523,0.001196896282634292,0.46100018043621344,514.2442530755019
896,GBR,2045,60714.94,72663656.3352179,37586924.446617596,20222245.10939767,0.5380127639365142,0.000985811384132499,0.4610014246793533,517.2726826904848
897,GBR,2046,61664.44,72775434.7947902,37863885.74767792,20377802.542805232,0.5381857181431766,0.0008119207878800842,0.4610023610689433,520.2838822529234
898,GBR,2047,62626.07,72875329.6801169,38135230.469433546,20529271.99846993,0.5383282530552612,0.0006686811707341614,0.46100306577400463,523.2941056572434
899,GBR,2048,63598.68,72964128.0623943,38400979.54817706,20676842.579890903,0.538445706936985,0.0005506969448126295,0.46100359611820246,526.2994373802285
900,GBR,2049,64580.56,73042652.3973252,38661071.44666982,20820629.479188427,0.5385424847293484,0.0004535200283371724,0.4610039952423144,529.2944625883489
901,GBR,2050,65573.81,73107491.2717216,38914053.33589615,20959973.804405965,0.538622220190861,0.00037348419589977664,0.46100429561323925,532.2854424215255
902,BGR,2010,16712.2568186575,7395599.00321645,4094000.0,0.0,0.0,0.7519782393669634,0.2480217606330366,554.0
903,BGR,2011,17171.330477742,7348328.0,3732000.0,0.0,0.0,0.7239921060050747,0.2760078939949253,508.0
904,BGR,2012,17400.4097810058,7305888.0,3364000.0,0.0,0.0,0.734197218710493,0.26580278128950696,460.0
905,BGR,2013,17403.0917216223,7265115.0,3135000.0,49000.0,0.015755627009646302,0.6967845659163987,0.28745980707395496,432.0
906,BGR,2014,17668.4573380669,7223937.0,3192000.0,51000.0,0.016977363515312916,0.7380159786950732,0.24500665778961384,442.0
907,BGR,2015,18385.7032268023,7177991.0,3011000.0,82000.0,0.027702702702702704,0.6736486486486486,0.29864864864864865,419.0
908,BGR,2016,19075.4968373295,7127821.5,2881000.0,109000.0,0.03788668752172402,0.643378519290928,0.31873479318734793,404.0
909,BGR,2017,19742.9803909507,7075946.5,3080000.0,103000.0,0.03353956366004559,0.6196678606317161,0.34679257570823835,435.0
910,BGR,2018,20421.9643697549,7025036.5,2862000.0,208000.0,0.07275271073802028,0.6121021336131515,0.3151451556488283,407.0
911,BGR,2019,21396.10289478,6975760.5,3080000.0,103000.0,0.03353956366004559,0.6196678606317161,0.34679257570823835,442.0
912,BGR,2020,20671.2134203702,6934015.0,2829000.0,129000.0,0.04826038159371493,0.531986531986532,0.37298915076692857,408.0
913,BGR,2021,22437.0808263078,6877742.5,3058000.0,82000.0,0.026991441737985518,0.293614219881501,0.2834101382488479,445.0
914,BGR,2022,23517.3359202348,6819462.0,3153977.5297745713,307588.9073652182,0.09752412769637042,0.5626046924852945,0.33987117981833503,462.4965326846269
915,BGR,2023,24147.3738815354,6755873.6652477,3163742.5499008955,342114.940187531,0.10813615039512231,0.550346061108387,0.34151778849649067,468.29510240477515
916,BGR,2024,25127.1597337685,6671557.22417575,3182820.280227863,378311.5710199631,0.1188604877787442,0.5382407992404453,0.3428987129808105,477.07306904215164
917,BGR,2025,26072.7616660128,6619605.84029041,3212393.0684180693,416495.97655791143,0.12965286865190917,0.5262920062174101,0.3440551251306807,485.2846447239731
918,BGR,2026,27285.44,6566564.59832202,3253519.9165719254,457038.58536226884,0.14047511528493362,0.5145025468217272,0.34502233789333914,495.4675870246232
919,BGR,2027,28483.95,6512259.0740935,3289829.681007379,497733.0458118665,0.15129447238115246,0.5028750522202589,0.3458304753985887,505.1748776541603
920,BGR,2028,29599.74,6459009.60108613,3319391.638686436,538016.8136991443,0.1620829574397707,0.4914119215178567,0.3465051210423726,513.9165048041198
921,BGR,2029,30634.65,6406388.73812253,3342767.20708028,577686.1779244877,0.17281675394592144,0.4801153238975677,0.34706792215651083,521.7865077697296
922,BGR,2030,31609.61,6354459.0126744,3361532.0231277603,616759.302096812,0.18347565867391147,0.4689872013167014,0.3475371400093872,529.0036518329816
923,BGR,2031,32549.86,6303301.99426299,3377263.6301185885,655332.9734080407,0.19404258748525044,0.458029271726528,0.3479281407882216,535.7927691220311
924,BGR,2032,33466.43,6253268.70368622,3390881.7519276757,693445.9639875918,0.20450313951330684,0.4472430327822041,0.34825382770448904,542.2574836627116
925,BGR,2033,34359.16,6205250.00672636,3403055.2164247707,731130.1360152918,0.21484521687644337,0.43662976600862125,0.3485250171149354,548.415488938549
