LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
DEU,2030,52836729.57876935,16364543.844399257,0.30971909077004633,2.247888778688902e-06,0.690278661341175,REC
DEU,2031,53043935.20560285,16406091.100674424,0.3092924956846246,1.4572967325138822e-06,0.6907060470186429,REC
DEU,2032,53264560.408378586,16454630.76636812,0.308922680300198,9.447586336848866e-07,0.6910763749411684,REC
DEU,2033,53500244.82618361,16510291.896846447,0.30860217463465006,6.124823208021211e-07,0.6913972128830291,REC
DEU,2034,53767309.80158586,16577777.061830109,0.30832446560942034,3.9706912787923646e-07,0.6916751373214518,REC
DEU,2035,54049246.39811099,16651701.67236381,0.3080838824229339,2.574178191356272e-07,0.691915860159247,REC
DEU,2036,54344684.26934867,16731396.46559998,0.3078754930781109,1.6688259309248504e-07,0.692124340039296,REC
DEU,2037,54654839.778334245,16817021.575465146,0.3076950118904491,1.0818908269544447e-07,0.6923048799204682,REC
DEU,2038,54976525.26126993,16907410.066137735,0.30753871740323924,7.013839376693125e-08,0.692461212458367,REC
DEU,2039,55307411.97690524,17001685.376788348,0.3074033799283133,4.54703376497641e-08,0.692596574601349,REC
DEU,2040,55641879.02322688,17097981.445874184,0.3072861978427595,2.9478170960859656e-08,0.6927137726790695,REC
DEU,2041,55975649.9311664,17194865.568824723,0.30718474175769916,1.9110536587845725e-08,0.6928152391317642,REC
DEU,2042,56306933.01239781,17291684.897814453,0.30709690570443826,1.2389255965824226e-08,0.6929030819063058,REC
DEU,2043,56633058.78389657,17387530.669188734,0.3070208645366833,8.031886587755924e-09,0.6929791274314301,REC
DEU,2044,56953179.7618763,17482065.39041415,0.30695503681282443,5.2070279358354325e-09,0.6930449579801476,REC
DEU,2045,57268027.771510616,17575446.193123583,0.3068980524918115,3.3756875875744514e-09,0.6931019441325009,REC
DEU,2046,57575725.03640285,17667037.80946162,0.30684872484526166,2.1884397033171397e-09,0.6931512729662986,REC
DEU,2047,57875786.47370047,17756640.05276818,0.3068060260543851,1.418753426064248e-09,0.6931939725268614,REC
DEU,2048,58168840.96881502,17844401.015565533,0.30676906602165444,9.197700441979591e-10,0.6932309330585755,REC
DEU,2049,58454142.67159475,17930052.68528109,0.3067370739831932,5.962818614576742e-10,0.6932629254205249,REC
DEU,2050,58732798.709489465,18013900.428116485,0.3067093825584371,3.865662514755436e-10,0.6932906170549966,REC
GRC,2022,5686979.582467608,266197.9190356453,0.046808312774026306,0.7196310747090555,0.23356061251691818,REC
GRC,2023,5730590.028149886,388720.2965371719,0.06783250845509703,0.6674558095852311,0.2647116819596719,REC
GRC,2024,5767513.954037344,506325.73701292055,0.08778925218871558,0.6160414138498436,0.2961693339614408,REC
GRC,2025,5811472.087782574,620323.3574749714,0.10674117471527977,0.5653857713407827,0.3278730539439375,REC
GRC,2026,5858124.676673059,730760.4484993106,0.12474306861531725,0.5154866298623763,0.3597703015223065,REC
GRC,2027,5900914.557027639,837000.5459971674,0.14184251236113044,0.4663416026872601,0.39181588495160946,REC
GRC,2028,5939089.38094396,938854.4287266267,0.15808053533240563,0.4179481701259119,0.4239712945416824,REC
GRC,2029,5972779.781322348,1036231.2626196188,0.17349229346443468,0.37030368116210727,0.456204025373458,REC
GRC,2030,6002907.132073955,1129193.250143536,0.18810773268674724,0.3234053551525062,0.4884869121607466,REC
GRC,2031,6030838.275238644,1217941.2008252596,0.20195222376064542,0.2772502835885225,0.5207974926508321,REC
GRC,2032,6056962.082159433,1302532.4787554184,0.21504715748377917,0.2318354319185782,0.5531174105976426,REC
GRC,2033,6080954.404311619,1382872.842273669,0.2274104935391658,0.1871576414287963,0.5854318650320379,REC
GRC,2034,6103165.558432225,1459006.033415105,0.239057259621496,0.1432136311801449,0.6177291091983591,REC
GRC,2035,6123406.246167535,1530851.5615418837,0.25,0.09999999999999999,0.65,REC
GRC,2036,6141983.342421457,1535495.8356053643,0.25,0.09999999999999999,0.65,REC
GRC,2037,6159471.832747608,1539867.958186902,0.25,0.09999999999999999,0.65,REC
GRC,2038,6175599.023966671,1543899.7559916677,0.25,0.09999999999999999,0.65,REC
GRC,2039,6190553.627841475,1547638.4069603689,0.25,0.09999999999999999,0.65,REC
GRC,2040,6204297.052220174,1551074.2630550435,0.25,0.09999999999999999,0.65,REC
